活用,未然形,連用形,終止形,連体形,已然形,命令形,英語
四段,思[おも]は,思[おも]ひ,思[おも]ふ,思[おも]ふ,思[おも]へ,思[おも]へ,to think/feel
四段,聞[き]か,聞[き]き,聞[き]く,聞[き]く,聞[き]け,聞[き]け,to listen
上一段,見[み],見[み],見[み]る,見[み]る,見[み]れ,見[み]よ,to see
上一段,似[に],似[に],似[に]る,似[に]る,似[に]れ,似[に]よ,to resemble
上一段,煮[に],煮[に],煮[に]る,煮[に]る,煮[に]れ,煮[に]よ,to boil
上一段,干[ひ],干[ひ],干[ひ]る,干[ひ]る,干[ひ]れ,干[ひ]よ,to dry up
上一段,射[い],射[い],射[い]る,射[い]る,射[い]れ,射[い]よ,to shoot
上一段,鋳[い],鋳[い],鋳[い]る,鋳[い]る,鋳[い]れ,鋳[い]よ,to cast
上一段,居[ゐ],居[ゐ],居[ゐ]る,居[ゐ]る,居[ゐ]れ,居[ゐ]よ,to sit
上一段,用[もち]ゐ,用[もち]ゐ,用[もち]ゐる,用[もち]ゐる,用[もち]ゐれ,用[もち]ゐよ,to use
上一段,率[ゐ],率[ゐ],率[ゐ]る,率[ゐ]る,率[ゐ]れ,率[ゐ]よ,to lead
上一段,着[き],着[き],着[き]る,着[き]る,着[き]れ,着[き]よ,to wear
上一段,率[ひき]ゐ,率[ひき]ゐ,率[ひき]ゐる,率[ひき]ゐる,率[ひき]ゐれ,率[ひき]ゐよ,to lead
上一段,試[こころ]み,試[こころ]み,試[こころ]みる,試[こころ]みる,試[こころ]みれ,試[こころ]みよ,to try
上一段,顧[かへり]み,顧[かへり]み,顧[かへり]みる,顧[かへり]みる,顧[かへり]みれ,顧[かへり]みよ,to look back on
下一段,蹴[け],蹴[け],蹴[け]る,蹴[け]る,蹴[け]れ,蹴[け]よ,to kick
上二段,過[す]ぎ,過[す]ぎ,過[す]ぐ,過[す]ぐる,過[す]ぐれ,過[す]ぎよ,to pass
上二段,起[お]き,起[お]き,起[お]く,起[お]くる,起[お]くれ,起[お]きよ,to wake up
上二段,落[お]ち,落[お]ち,落[お]つ,落[お]つる,落[お]つれ,落[お]ちよ,to fall down
上二段,恥[は]ぢ,恥[は]ぢ,恥[は]づ,恥[は]づる,恥[は]づれ,恥[は]ぢよ,to be embarrassed
上二段,老[お]い,老[お]い,老[お]ゆ,老[お]ゆる,老[お]ゆれ,老[お]いよ,to age
上二段,悔[く]い,悔[く]い,悔[く]ゆ,悔[く]ゆる,悔[く]ゆれ,悔[く]いよ,to regret
上二段,報[むく]い,報[むく]い,報[むく]ゆ,報[むく]ゆる,報[むく]ゆれ,報[むく]いよ,to return a favour
下二段,暮[く]れ,暮[く]れ,暮[く]る,暮[く]るる,暮[く]るれ,暮[く]れよ,to grow dark
下二段,捨[す]て,捨[す]て,捨[す]つ,捨[す]つる,捨[す]つれ,捨[す]てよ,to abandon
下二段,受[う]け,受[う]け,受[う]く,受[う]くる,受[う]くれ,受[う]けよ,to receive
下二段,比[くら]べ,比[くら]べ,比[くら]ぶ,比[くら]ぶる,比[くら]ぶれ,比[くら]べよ,to compare
下二段,求[もと]め,求[もと]め,求[もと]む,求[もと]むる,求[もと]むれ,求[もと]めよ,to seek out
下二段,得[え],得[え],得[う],得[う]る,得[う]れ,得[え]よ,to be able
下二段,経[へ],経[へ],経[ふ],経[ふ]る,経[ふ]れ,経[へ]よ,to pass time
下二段,植[う]ゑ,植[う]ゑ,植[う]う,植[う]うる,植[う]うれ,植[う]ゑよ,to plant
下二段,飢[う]ゑ,飢[う]ゑ,飢[う]う,飢[う]うる,飢[う]うれ,飢[う]ゑよ,to starve
ナ変,死[し]な,死[し]に,死[し]ぬ,死[し]ぬる,死[し]ぬれ,死[し]ね,to die
ナ変,往[い]な,往[い]に,往[い]ぬ,往[い]ぬる,往[い]ぬれ,往[い]ね,to go/to leave
ナ変,な,に,ぬ,ぬる,ぬれ,ね,perfective auxiliary
ラ変,有[あ]ら,有[あ]り,有[あ]り,有[あ]る,有[あ]れ,有[あ]れ,to be
ラ変,居[を]ら,居[を]り,居[を]り,居[を]る,居[を]れ,居[を]れ,to be still/to sit
ラ変,侍[はべ]ら,侍[はべ]り,侍[はべ]り,侍[はべ]る,侍[はべ]れ,侍[はべ]れ,to serve a superior
ラ変,いまそがら,いまそがり,いまそがり,いまそがる,いまそがれ,いまそがれ,to be (honourific)
カ変,来[こ],来[き],来[く],来[く]る,来[く]れ,来[こ],to come/to go/to visit/arrive
サ変,せ,し,す,する,すれ,せよ,to do/to exist/occur
サ変,おはせ,おはし,おはす,おはする,おはすれ,おはせよ,to be (honourific)
サ変,具[ぐ]せ,具[ぐ]し,具[ぐ]す,具[ぐ]する,具[ぐ]すれ,具[ぐ]せよ,to accompany
サ変,愛[わい]せ,愛[わい]し,愛[わい]す,愛[わい]する,愛[わい]すれ,愛[わい]せよ,to love
サ変,拝[はい]せ,拝[はい]し,拝[はい]す,拝[はい]する,拝[はい]すれ,拝[はい]せよ,to bow/show respect
サ変,ご覧[らん]ぜ,ご覧[らん]じ,ご覧[らん]ず,ご覧[らん]ずる,ご覧[らん]ずれ,ご覧[らん]ぜよ,to see (honourific)
サ変,信[しん]ぜ,信[しん]じ,信[しん]ず,信[しん]ずる,信[しん]ずれ,信[しん]ぜよ,to believe
サ変,重[おも]んぜ,重[おも]んじ,重[おも]んず,重[おも]んずる,重[おも]んずれ,重[おも]んぜよ,to value
